Експеримент,"К-сть ферзів, що треба переставити",Вихідний стан,Алгоритм,Цільовий стан,"Час,с",Кількість згенерованих вузлів,"Максимальна кількість вузлів, що одночасно зберігалися в пам'яті"
1,1,51032313,LDFS,None,150.356,0,0
2,1,11735345,LDFS,None,57.33,0,0
3,1,75475400,LDFS,None,57.502,0,0
4,1,13602347,LDFS,53602417,0.074,14998,283
5,1,06416750,LDFS,None,23.897,0,0
6,1,54650067,LDFS,None,21.604,0,0
7,1,10213404,LDFS,52613704,3.614,741921,13264
8,1,53663167,LDFS,None,57.018,0,0
9,1,07105566,LDFS,47302516,2.885,589285,10538
10,1,02312010,LDFS,None,58.105,0,0
11,1,35434460,LDFS,25317460,1.131,234395,4201
12,1,26441527,LDFS,36415027,2.094,429740,7689
13,1,52474552,LDFS,06471352,0.193,40024,730
14,1,12622040,LDFS,31625740,1.816,385044,6891
15,1,51760334,LDFS,25160374,1.051,214852,3852
16,1,57531733,LDFS,None,18.315,0,0
17,1,74245553,LDFS,64205713,4.6,963495,17220
18,1,62035623,LDFS,None,154.863,0,0
19,1,44323143,LDFS,None,64.689,0,0
20,1,10324030,LDFS,None,59.06,0,0
1,1,33520717,A*,37420615,0.007,1008,989
2,1,66415473,A*,36415027,0.027,4480,4334
3,1,02551356,A*,06471352,0.009,1624,1581
4,1,22747433,A*,52617403,0.002,224,221
5,1,26011666,A*,25713064,0.011,1848,1804
6,1,75237042,A*,57130642,0.049,8232,7960
7,1,52421256,A*,52470316,0.003,448,440
8,1,50272007,A*,46152037,0.042,7448,7242
9,1,04440354,A*,06471352,0.002,280,276
10,1,74045145,A*,24603175,0.028,4648,4521
11,1,32721175,A*,36271405,0.035,5936,5754
12,1,10060576,A*,15063724,0.005,952,936
13,1,72125226,A*,31475026,0.026,4480,4336
14,1,16171404,A*,36271405,0.002,168,166
15,1,54455765,A*,64205713,0.005,784,771
16,1,64716143,A*,62714053,0.005,784,769
17,1,60050465,A*,62057413,0.006,1008,988
18,1,72215331,A*,42736051,0.049,9016,8710
19,1,07654220,A*,46152037,0.101,16016,15490
20,1,07115336,A*,26175304,0.093,11200,10847
